gene,correlation,p_value
ENSG00000159335.15,0.21867060560303161,7.800922614194032e-05
ENSG00000121388.5,0.2186518482550543,7.812250846885134e-05
ENSG00000231484.1,0.21853994295812001,7.880156755513176e-05
ENSG00000170255.7,0.21847553848837192,7.919489809054166e-05
ENSG00000228035.1,0.2184628298448677,7.927273012839443e-05
ENSG00000131668.13,0.21845742326621206,7.930586366477145e-05
ENSG00000229205.2,0.21829853662695545,8.028541857902621e-05
ENSG00000225595.2,0.21820513106868059,8.086657603756381e-05
ENSG00000277535.1,0.21797108240675733,8.234022750085511e-05
ENSG00000174279.4,0.21797033807679086,8.234495410197455e-05
ENSG00000227938.1,0.21790971420708594,8.27307823869933e-05
ENSG00000071539.13,0.21769394593085978,8.411783677726459e-05
ENSG00000234830.7,0.21764205116846636,8.445468706053664e-05
ENSG00000149968.11,0.21744405191485777,8.575159571302717e-05
ENSG00000253508.1,0.21741405641091116,8.594969428569218e-05
ENSG00000136982.5,0.21731091498530614,8.663415785877916e-05
ENSG00000188778.4,0.2172607165431038,8.69691343725484e-05
ENSG00000126787.12,0.21724763934777128,8.705659885994032e-05
ENSG00000185269.11,0.2170894850649309,8.812095579297689e-05
ENSG00000204669.9,0.2169703352438958,8.893088645253927e-05
ENSG00000108516.5,0.21676333968720965,9.03546213320885e-05
ENSG00000232925.2,0.2167617573653174,9.036558676239127e-05
ENSG00000198601.2,0.21676121074989885,9.036937507711173e-05
ENSG00000236648.1,0.21673714721652476,9.053629528612842e-05
ENSG00000253386.1,0.2166815848401337,9.092281977782e-05
ENSG00000013810.18,0.21664494970691106,9.117852333731652e-05
ENSG00000224247.1,0.21663595620282908,9.124139888987668e-05
ENSG00000277258.4,0.21662291050447574,9.13326766670678e-05
ENSG00000142549.9,0.21643721857635856,9.264126312926144e-05
ENSG00000268174.1,0.2163523909082302,9.324489690372291e-05
ENSG00000164106.7,0.21612400904412576,9.488848978429506e-05
ENSG00000270935.1,0.2160641828229162,9.532351929735549e-05
ENSG00000258966.1,0.21598315559633335,9.591570212860255e-05
ENSG00000255248.6,0.21595271846702654,9.6139042079799e-05
ENSG00000011426.10,0.21590995867840482,9.645362827008444e-05
ENSG00000237790.1,0.21585906624097442,9.68293076455578e-05
ENSG00000234113.2,0.21582632925450765,9.707169282579857e-05
ENSG00000066279.16,0.21581980392706868,9.712007455714075e-05
ENSG00000229351.1,0.21577838412173173,9.742770856007235e-05
ENSG00000171303.6,0.2155969735599425,9.87859041433492e-05
ENSG00000130720.12,0.21546485345883923,9.978624376521016e-05
ENSG00000171405.12,0.2154164041413486,0.000100155454027921
ENSG00000259974.2,0.21538169029564683,0.00010042078132562234
ENSG00000111328.6,0.21516828884460973,0.00010206642953049306
ENSG00000258065.1,0.21514466424234113,0.0001022501604441526
ENSG00000230882.1,0.2151347621047296,0.00010232726273333343
ENSG00000133874.1,0.2150110968266542,0.00010329478524851566
ENSG00000253423.1,0.21496486068047385,0.00010365872589327183
ENSG00000248118.1,0.21483402231089305,0.00010469513735006227
ENSG00000129862.6,0.2147675232625438,0.00010522561996382142
ENSG00000129864.6,0.2147675232625438,0.00010522561996382142
ENSG00000274867.1,0.21450158626220794,0.0001073724176428402
ENSG00000249277.1,0.21450158626220792,0.0001073724176428402
ENSG00000258797.2,0.2145015862622079,0.0001073724176428402
ENSG00000235689.1,0.2145015862622079,0.0001073724176428402
ENSG00000201395.1,0.2145015862622079,0.0001073724176428402
ENSG00000230314.6,0.21448875136496565,0.00010747706175646672
ENSG00000174371.16,0.2144668512092968,0.00010765583692928821
ENSG00000053372.4,0.21436713625682957,0.00010847336537731841
ENSG00000111206.12,0.21435816544155945,0.00010854719911983912
ENSG00000232765.6,0.2143340175928818,0.00010874618106217252
ENSG00000110484.6,0.21432413056829674,0.00010882775043552829
ENSG00000278824.1,0.21419219984179988,0.00010992171080553736
ENSG00000183305.13,0.21413659303659915,0.00011038588465103333
ENSG00000115163.14,0.21404753235384671,0.00011113314849760628
ENSG00000169164.7,0.2140278794694917,0.00011129868450161764
ENSG00000108759.3,0.21401139068354566,0.00011143774791007309
ENSG00000256151.1,0.21392195237319606,0.00011219490092829357
